Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3, 30.0, -11.25
Query 2, 1, 10.0, 1
Query 3, 3, 30.0, -0.5
Query 4, 1, 10.0, 0
Query 5, 1, 10.0, 0
Query 6, 5, 50.0, -1.5
Query 7, 4, 40.0, -4.8
Query 8, 1, 10.0, 0
Query 9, 1, 10.0, 0
Query 10, 1, 10.0, 0
Query 11, 4, 40.0, -0.30000000000000004
Query 12, 2, 20.0, -9.0
Query 13, 5, 50.0, -1.2000000000000002
Query 14, 3, 30.0, 0.75
Query 15, 0, 0.0, 0
Query 16, 0, 0.0, 0
Query 17, 2, 20.0, -52.0
Query 18, 0, 0.0, 0
Query 19, 3, 30.0, -5.5
Query 20, 4, 40.0, -0.30000000000000004
Query 21, 1, 10.0, 0
Query 22, 0, 0.0, 0
Query 23, 3, 30.0, -13.25
Query 24, 1, 10.0, 0
Query 25, 4, 40.0, -6.3
Query 26, 4, 40.0, -0.19999999999999996
Query 27, 0, 0.0, 0
Query 28, 4, 40.0, 0.0
Query 29, 2, 20.0, -16.0
Query 30, 2, 20.0, -33.0
Query 31, 1, 10.0, 0
Query 32, 2, 20.0, -36.0
Query 33, 3, 30.0, -10.25
Query 34, 1, 10.0, 0
Query 35, 1, 10.0, 0
Query 36, 2, 20.0, -40.0
Query 37, 3, 30.0, -3.25
Query 38, 3, 30.0, -7.25
Query 39, 2, 20.0, -16.0
Query 40, 2, 20.0, -116.0
Query 41, 3, 30.0, -6.25
Query 42, 1, 10.0, 0
Query 43, 4, 40.0, -1.7999999999999998
Query 44, 1, 10.0, 0
Query 45, 1, 10.0, 0
Query 46, 2, 20.0, -16.0
Query 47, 0, 0.0, 0
Query 48, 3, 30.0, -19.25
Query 49, 0, 0.0, 0
Query 50, 2, 20.0, -28.0
Query 51, 4, 40.0, -3.2
Query 52, 2, 20.0, -16.0
Query 53, 4, 40.0, -0.3999999999999999
Query 54, 1, 10.0, 0
Query 55, 1, 10.0, 1
Query 56, 2, 20.0, -49.0
Query 57, 1, 10.0, 0
Query 58, 0, 0.0, 0
Query 59, 1, 10.0, 0
Query 60, 0, 0.0, 0
Query 61, 2, 20.0, -112.0
Query 62, 4, 40.0, -6.8
Query 63, 2, 20.0, -64.0
Query 64, 3, 30.0, -32.5
Query 65, 2, 20.0, -17.0
Query 66, 2, 20.0, -3.0
Query 67, 0, 0.0, 0
Query 68, 1, 10.0, 1
Query 69, 1, 10.0, 0
Query 70, 2, 20.0, 0.0
Query 71, 1, 10.0, 0
Query 72, 2, 20.0, -3.0
Query 73, 1, 10.0, 0
Query 74, 1, 10.0, 0
Query 75, 3, 30.0, -10.25
Query 76, 1, 10.0, 0
Query 77, 2, 20.0, -25.0
Query 78, 1, 10.0, 0
Query 79, 0, 0.0, 0
Query 80, 2, 20.0, -39.0
Query 81, 5, 50.0, -0.10000000000000009
Query 82, 2, 20.0, -51.0
Query 83, 4, 40.0, -2.4
Query 84, 1, 10.0, 0
Query 85, 3, 30.0, -12.5
Query 86, 3, 30.0, -21.25
Query 87, 3, 30.0, -5.5
Query 88, 1, 10.0, 0
Query 89, 4, 40.0, -2.0
Query 90, 3, 30.0, -11.75
Query 91, 3, 30.0, -6.25
Query 92, 0, 0.0, 0
Query 93, 3, 30.0, -3.5
Query 94, 3, 30.0, -8.5
Query 95, 0, 0.0, 0
Query 96, 2, 20.0, -4.0
Query 97, 3, 30.0, -13.25
Query 98, 2, 20.0, -8.0
Query 99, 1, 10.0, 0
Query 100, 2, 20.0, -36.0
Averages, 1.99, 19.9, -10.1855
