time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2023-03-02T07:39:51Z,161,0,0,0,0,0,3163825,1248,17936,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,2,1,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,1,7,31379784,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:40:51Z,161,0,0,0,0,0,8850556,1467,5704667,0,0,0,0,0,0,248767,0,0,0,0,0,0,0,292,9,0,133,1,7,76906,0,0,0,0,0, ,0,0,0,0,0,0,38198,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,227,33,395,566258488,4,0,0,0,0,0,0,0,0,0,0,1,0,23,0,3257,0,2934,0,6514,0,0,0,0,0,0,0,0,0,0,195266,0,25348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:41:51Z,161,0,0,0,0,0,12041308,1467,8895419,0,0,0,0,0,0,195479,0,0,0,0,0,0,0,456,9,0,217,1,7,73616,0,0,0,0,0, ,0,0,0,0,0,0,195452,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,29,311,633996080,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,400,0,16,0,800,0,0,0,0,0,0,0,0,0,0,182428,0,12796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:42:51Z,161,0,0,0,0,0,14179540,1467,11033651,0,0,0,0,0,0,197031,0,0,0,0,0,0,0,560,12,0,206,1,7,73966,0,0,0,0,0, ,0,0,0,0,0,0,196876,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,247,746702528,4,0,0,0,0,0,0,0,0,0,0,4,0,19,0,1450,0,58,0,2900,0,0,0,0,0,0,0,0,0,0,185523,0,10979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:43:51Z,161,0,0,0,0,0,14629092,1467,11483203,0,0,0,0,0,0,166545,0,0,0,0,0,0,0,583,12,0,183,1,7,70713,0,0,0,0,0, ,0,0,0,0,0,0,166440,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,153,691033608,3,0,0,0,0,0,0,0,0,0,0,2,0,23,0,1350,0,54,0,2700,0,0,0,0,0,0,0,0,0,0,162215,0,3974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:44:51Z,161,0,0,0,0,0,15100820,1467,11954931,0,0,0,0,0,0,156171,0,0,0,0,0,0,0,611,12,0,175,1,7,70218,0,0,0,0,0, ,0,0,0,0,0,0,156146,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,381,21,208,231031624,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,400,0,16,0,800,0,0,0,0,0,0,0,0,0,0,153278,0,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:45:51Z,161,0,0,0,0,0,15543932,1467,12398043,0,0,0,0,0,0,161739,0,0,0,0,0,0,0,637,13,0,149,1,6,67018,0,0,0,0,0, ,0,0,0,0,0,0,161615,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,168,808018496,4,0,0,0,0,0,0,0,0,0,0,2,0,25,0,1700,0,68,0,3400,0,0,0,0,0,0,0,0,0,0,157146,0,4161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:46:51Z,161,0,0,0,0,0,16282444,1467,13136555,0,0,0,0,0,0,182405,0,0,0,0,0,0,0,682,14,0,131,1,6,65965,0,0,0,0,0, ,0,0,0,0,0,0,182328,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,198,804492624,6,0,0,0,0,0,0,0,0,0,0,2,0,18,0,1150,0,46,0,2300,0,0,0,0,0,0,0,0,0,0,176934,0,5172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:47:51Z,161,0,0,0,0,0,17435572,1467,14289683,0,0,0,0,0,0,194353,0,0,0,0,0,0,0,755,14,0,125,1,6,66069,0,0,0,0,0, ,0,0,0,0,0,0,194329,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,219,345186528,5,0,0,0,0,0,0,0,0,0,0,2,0,6,0,450,0,18,0,900,0,0,0,0,0,0,0,0,0,0,188056,0,6140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:48:51Z,161,0,0,0,0,0,18255756,1467,15109867,0,0,0,0,0,0,193642,0,0,0,0,0,0,0,810,15,0,97,1,6,77400,0,0,0,0,0, ,0,0,0,0,0,0,193504,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,180,774791856,4,0,0,0,0,0,0,0,0,0,0,3,0,28,0,1850,0,74,0,3700,0,0,0,0,0,0,0,0,0,0,186822,0,6331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
